,City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
4,Adelanto,34429,239,0,25,40,174,610,175,336,99,19
5,Agoura Hills,20744,27,0,5,8,14,274,64,186,24,3
6,Alameda,79951,184,1,13,75,95,2123,196,1576,351,18
7,Albany,20379,37,1,2,28,6,608,69,492,47,3
8,Alhambra,85718,193,3,14,88,88,1930,328,1346,256,16
9,Aliso Viejo,52183,43,0,11,10,22,445,66,348,31,1
10,Alturas,2501,24,0,0,3,21,76,27,38,11,1
11,American Canyon,20339,56,0,8,13,35,405,54,311,40,0
12,Anaheim,354743,1192,7,142,407,636,8702,1408,5921,1373,27
13,Anderson,10433,64,1,6,12,45,388,89,201,98,4
14,Angels Camp,3808,10,0,0,0,10,80,22,50,8,0
15,Antioch,112956,602,7,56,213,326,3330,641,2087,602,92
16,Apple Valley,73631,227,5,17,55,150,1459,279,917,263,15
17,Arcadia,59151,76,1,8,41,26,1420,372,969,79,5
18,Arcata,18073,64,1,15,14,34,665,89,512,64,12
19,Arroyo Grande,18244,24,0,3,3,18,286,37,225,24,4
20,Artesia,16959,82,1,3,34,44,335,107,180,48,1
21,Arvin,21560,207,3,7,27,170,382,89,172,121,20
22,Atascadero,30716,99,0,15,9,75,428,63,330,35,3
23,Atherton,7285,5,0,3,2,0,107,31,73,3,0
24,Atwater,29565,179,2,6,21,150,910,163,561,186,16
25,Auburn,14094,72,0,3,9,60,192,51,123,18,3
26,Avalon,3769,4,0,1,0,3,41,9,27,5,0
27,Avenal,12084,44,1,2,1,40,118,43,57,18,0
28,Azusa,50393,193,3,25,63,102,1122,221,716,185,9
29,Bakersfield,385609,1895,31,113,811,940,16097,4025,9295,2777,275
30,Baldwin Park,76541,287,3,35,71,178,1386,240,843,303,1
31,Banning,31451,135,6,17,28,84,531,191,217,123,0
32,Barstow,24095,285,2,14,96,173,1102,348,584,170,32
33,Bear Valley,5500,5,0,1,0,4,118,5,113,0,0
34,Beaumont,48559,208,1,17,24,166,871,163,570,138,3
35,Bell,35857,184,3,10,45,126,495,120,266,109,0
36,Bellflower,77937,335,4,25,118,188,1688,331,963,394,10
37,Bell Gardens,42845,117,2,6,53,56,633,85,306,242,4
38,Belmont,27325,40,0,10,10,20,424,58,336,30,1
39,Belvedere,2134,0,0,0,0,0,11,4,6,1,0
40,Benicia,28536,34,0,7,17,10,382,71,229,82,2
41,Berkeley,123735,586,1,65,353,167,5381,829,4004,548,31
42,Beverly Hills,34557,106,0,14,42,50,1757,405,1282,70,5
43,Big Bear,5296,36,1,4,3,28,171,44,109,18,1
44,Biggs,1712,10,0,0,2,8,34,9,20,5,0
45,Bishop,3744,41,0,6,4,31,232,26,201,5,0
46,Blythe,19517,71,1,6,23,41,684,213,440,31,35
47,Bradbury,1100,2,0,0,0,2,13,9,4,0,0
48,Brawley,26590,154,1,4,18,131,657,112,494,51,19
49,Brea,43279,83,1,7,29,46,1293,159,1068,66,5
50,Brentwood,64118,152,1,7,39,105,1317,211,1021,85,1
51,Brisbane,4786,9,0,1,1,7,93,39,51,3,1
52,Broadmoor,4440,14,2,1,5,6,78,24,36,18,0
53,Buellton,5176,3,0,0,0,3,51,4,41,6,0
54,Buena Park,83336,257,0,17,74,166,2583,265,1977,341,2
55,Burbank,105041,229,0,18,77,134,2625,276,2135,214,8
56,Burlingame,30959,58,0,9,19,30,921,177,684,60,4
57,Calabasas,24309,26,0,8,3,15,363,81,269,13,0
58,Calexico,40596,87,0,6,19,62,1064,320,576,168,40
59,California City,14051,47,4,2,8,33,393,196,137,60,0
60,Calimesa,8953,12,0,0,3,9,202,36,129,37,0
61,Calistoga,5289,10,0,3,2,5,62,15,39,8,1
62,Camarillo,68218,78,0,16,21,41,841,110,663,68,3
63,Campbell,41853,119,0,11,37,71,1379,235,976,168,25
64,Canyon Lake,11314,12,0,3,0,9,101,22,56,23,1
65,Capitola,10218,26,0,5,9,12,507,28,458,21,3
66,Carlsbad,116739,243,1,39,52,151,2100,299,1649,152,14
